0,1,,98,2,Overpriced and doesn’t work well.,1983-11-28 04:15:41,1983-11-28 04:15:41,0
1,1,1,,4,Love the quality and great performance.,2007-03-27 12:53:19,2007-03-27 12:53:19,0
2,1,,69,5,Reliable high-quality and does exactly what I was looking for.,2023-05-22 19:11:42,2023-05-22 19:11:42,0
3,1,1,,3,Really disappointed with this product.,2018-02-15 05:05:54,2018-02-15 05:05:54,0
4,1,1,,4,I’m impressed by the quality.,2022-08-08 12:08:38,2022-08-08 12:08:38,0
5,1,,93,0,This is a disaster.,2007-05-04 19:00:16,2007-05-04 19:00:16,0
6,1,1,,3,It’s not worth the price at all.,2003-06-09 00:58:41,2003-06-09 00:58:41,0
7,1,,55,1,Do not buy this again.,2016-12-20 12:35:54,2016-12-20 12:35:54,0
8,1,,41,0,Overhyped and doesn’t live up to the description at all.,2003-12-18 23:20:20,2003-12-18 23:20:20,0
9,1,1,,2,Doesn’t work as it should.,1997-02-28 00:39:08,1997-02-28 00:39:08,0
10,1,1,,2,This product did not work as it should.,2019-03-22 05:32:00,2019-03-22 05:32:00,0
11,99,1,,4,Truly impressed with this purchase.,2007-09-10 12:57:01,2007-09-10 12:57:01,0
12,76,1,,5,A must-buy for anyone looking for quality and works perfectly.,2006-12-26 05:55:41,2006-12-26 05:55:41,0
13,55,1,,4,Great performance and worth every cent.,1998-08-12 09:03:19,1998-08-12 09:03:19,0
14,21,,47,3,Really unimpressed with this product.,2015-11-01 20:27:49,2015-11-01 20:27:49,0
15,32,,79,4,Super happy with this purchase.,1991-08-19 02:14:23,1991-08-19 02:14:23,0
16,60,1,,0,It’s not worth the money.,1978-05-02 03:49:56,1978-05-02 03:49:56,0
17,87,1,,4,Amazing quality and great performance.,1980-05-19 08:22:54,1980-05-19 08:22:54,0
18,13,1,,4,Truly impressed with this purchase.,1975-12-12 23:14:19,1975-12-12 23:14:19,0
19,17,1,,3,Really unimpressed with this product.,2009-04-26 06:52:18,2009-04-26 06:52:18,0
20,22,,23,4,Very satisfied with this item.,2017-08-03 13:04:34,2017-08-03 13:04:34,0
21,42,1,,0,Not up to the hype.,2002-04-25 20:45:59,2002-04-25 20:45:59,0
22,58,,4,4,High quality and works perfectly.,1984-06-06 03:34:24,1984-06-06 03:34:24,0
23,94,,94,4,It’s exactly what I need.,2018-04-16 07:08:46,2018-04-16 07:08:46,0
24,57,1,,4,Fantastic product worth every cent.,1984-01-20 11:03:18,1984-01-20 11:03:18,0
25,11,,3,5,Super impressed with this purchase.,2016-04-20 20:50:58,2016-04-20 20:50:58,0
26,37,1,,5,It’s exactly what I expected.,1985-08-04 10:55:00,1985-08-04 10:55:00,0
27,26,,74,2,Total waste of my money.,2023-05-07 13:07:35,2023-05-07 13:07:35,0
28,89,1,,4,This product is a fantastic product.,1990-01-05 10:56:34,1990-01-05 10:56:34,0
29,79,,45,3,Not up to the hype.,1985-10-23 00:56:26,1985-10-23 00:56:26,0
30,46,,48,4,It's perfect for what I needed.,2018-08-31 22:51:56,2018-08-31 22:51:56,0
31,48,,46,2,I feel like I expected.,1976-02-20 18:28:22,1976-02-20 18:28:22,0
32,69,1,,1,It’s cheaply made and barely works.,2006-07-04 04:10:42,2006-07-04 04:10:42,0
