0,68,58,318,42,10,operation Shop,3.20
1,63,2,297,27,100,even Shop,3.30
2,13,92,451,26,9,serve Shop,4.90
3,85,13,323,5,17,second Shop,3.50
4,69,79,302,36,95,lot Shop,3.10
5,96,78,228,12,113,anyone Shop,4.20
6,82,18,363,2,145,early Shop,3.80
7,88,0,263,1,7,activity Shop,3.10
8,62,55,323,25,148,important Shop,4.40
9,78,41,462,10,74,score Shop,3.80
10,18,35,250,35,103,nation Shop,3.60
11,62,25,156,7,29,money Shop,3.80
12,0,96,423,2,26,service Shop,3.70
13,92,89,300,18,78,former Shop,3.10
14,90,57,114,36,12,father Shop,3.70
15,33,21,100,36,27,table Shop,4.70
16,96,21,264,24,97,mention Shop,4.60
17,68,2,123,17,58,second Shop,4.60
18,6,53,177,44,5,according Shop,3.60
19,68,45,358,17,59,finally Shop,4.80
20,28,25,256,47,89,consumer Shop,4.20
21,13,97,360,9,3,almost Shop,4.60
22,43,73,167,8,50,machine Shop,3.50
23,85,66,393,40,107,join Shop,4.90
24,70,22,264,26,16,produce Shop,3.40
25,54,26,161,3,21,save Shop,3.50
26,78,53,262,47,103,kid Shop,4.70
27,18,98,466,14,26,mention Shop,4.50
28,89,98,327,10,101,act Shop,4.00
29,66,49,269,24,54,dark Shop,4.40
30,72,73,296,43,98,newspaper Shop,3.10
31,88,73,489,50,232,work Shop,4.30
32,52,41,155,24,64,often Shop,5.00
33,95,1,174,5,9,about Shop,4.20
34,78,55,490,13,136,also Shop,4.70
35,4,16,280,45,116,road Shop,3.60
36,65,58,271,17,85,in Shop,4.50
37,62,7,145,48,22,production Shop,3.70
38,34,48,193,2,13,identify Shop,4.50
39,78,20,356,23,7,usually Shop,3.80
40,54,90,210,18,7,rule Shop,3.40
41,13,33,245,49,91,head Shop,4.10
42,92,20,392,7,54,billion Shop,4.40
43,73,23,340,23,97,fact Shop,3.30
44,54,66,228,8,13,plant Shop,3.10
45,97,87,247,30,82,book Shop,4.10
46,34,49,299,14,96,well Shop,3.80
47,50,79,222,6,13,defense Shop,3.00
48,72,47,203,43,71,parent Shop,3.70
49,28,83,172,16,9,deep Shop,4.00
50,28,81,210,2,52,range Shop,4.70
51,63,99,118,2,25,seek Shop,4.30
52,39,23,472,25,63,study Shop,3.30
53,70,88,303,31,72,quickly Shop,4.00
54,66,99,407,33,120,several Shop,4.70
55,36,98,319,18,58,program Shop,3.60
56,6,3,465,15,182,eye Shop,3.10
57,4,4,102,47,22,remain Shop,4.70
58,4,97,111,6,55,western Shop,3.00
59,56,76,178,17,22,water Shop,4.40
60,50,26,452,50,142,leader Shop,4.60
61,57,96,247,48,115,three Shop,3.20
62,63,34,242,37,105,single Shop,4.90
63,43,24,405,50,166,account Shop,4.80
64,89,65,302,42,136,avoid Shop,4.20
65,88,80,399,3,6,memory Shop,3.40
66,66,6,304,39,113,knowledge Shop,3.50
67,10,35,298,11,3,nice Shop,3.00
68,18,66,330,49,74,skill Shop,3.40
69,88,66,428,50,31,fast Shop,4.00
70,47,61,333,30,68,stock Shop,4.70
71,54,33,232,3,45,well Shop,4.10
72,72,45,259,32,71,technology Shop,4.50
73,27,84,175,4,32,economic Shop,4.50
74,89,76,344,2,55,can Shop,3.50
75,69,55,408,21,99,eye Shop,3.80
76,33,11,352,30,76,bad Shop,4.10
77,88,58,201,49,65,eye Shop,4.70
78,27,64,268,3,55,cover Shop,3.60
79,6,80,150,35,2,soon Shop,3.10
80,92,59,346,28,149,evidence Shop,5.00
81,40,89,227,49,30,lead Shop,3.50
82,36,36,332,8,74,face Shop,3.30
83,56,38,144,9,50,size Shop,4.20
84,56,57,188,32,63,behavior Shop,4.40
85,18,10,391,22,80,perform Shop,3.10
86,36,99,284,34,137,method Shop,4.60
87,72,84,165,20,71,evening Shop,4.60
88,65,60,454,36,128,process Shop,3.70
89,70,80,215,46,94,even Shop,3.50
90,66,33,344,30,139,top Shop,4.40
91,33,10,207,44,96,gas Shop,4.70
92,13,0,485,35,28,sea Shop,3.60
93,54,97,441,44,71,admit Shop,4.70
94,78,74,340,4,148,stay Shop,4.70
95,66,78,422,37,45,church Shop,4.50
96,78,52,157,21,34,goal Shop,4.80
97,41,47,253,30,51,your Shop,3.00
98,90,32,143,16,47,leave Shop,4.90
