0,72,1861,2019-07-25 18:10:24.640565
1,52,325,2003-07-10 11:49:11.033240
2,17,885,1989-04-21 12:46:48.419514
3,82,1337,2004-04-04 21:29:44.307929
4,9,1979,1977-01-29 20:17:53.711423
5,82,373,1973-09-27 16:57:50.844612
6,64,1564,2007-06-21 19:10:06.487043
7,27,1629,1977-04-01 01:11:04.648812
8,21,602,2004-06-12 04:03:29.546734
9,59,1115,1981-04-12 18:48:52.535643
10,69,1790,2011-02-21 19:53:11.346894
11,34,597,2009-08-17 03:17:05.835339
12,59,63,2017-08-28 16:55:39.998680
13,34,1667,2004-09-26 14:29:21.995601
14,12,1724,1994-03-03 12:20:03.074608
15,88,48,2000-09-11 18:45:31.134289
16,20,1290,2010-02-22 07:50:38.909710
17,68,1680,1976-08-09 18:46:42.359223
18,27,928,1987-01-29 04:28:36.600819
19,34,40,1996-01-27 08:52:21.997611
20,86,1907,1970-07-26 11:52:25.712015
21,55,1592,1986-06-11 12:15:18.004237
22,45,260,1976-11-29 18:10:10.374930
23,22,1163,2002-05-19 20:47:14.215647
24,42,1984,2020-10-22 03:35:56.742135
25,56,473,1976-12-02 21:46:39.844828
26,38,1129,2004-10-09 02:03:57.229924
27,24,1353,2008-07-18 08:40:53.694081
28,62,70,2012-05-06 20:44:39.300830
29,73,58,1982-08-28 11:55:27.217413
30,74,15,1971-05-13 10:35:32.874118
31,33,1440,1988-07-11 12:32:13.844595
32,87,542,1992-11-26 06:56:13.702508
33,22,499,1975-10-23 02:10:38.638309
34,8,1119,1987-07-18 01:14:02.360577
35,74,1608,2001-05-05 09:07:24.806384
36,90,920,1981-11-08 07:34:38.302653
37,97,1546,2022-08-24 00:42:14.096574
38,94,669,1984-02-07 11:13:07.905440
39,33,1928,2002-09-15 15:42:14.458088
40,52,688,1978-07-06 04:25:25.105546
41,13,1507,2016-09-27 07:19:15.906578
42,48,1649,1992-01-06 00:49:40.357225
43,52,907,2020-07-30 07:12:46.764560
