0,99,242.85,2024-04-08 00:49:50,
1,99,169.72,2024-07-17 22:49:03,2024-11-19 05:04:47
2,33,446.60,2024-08-09 18:37:19,2024-11-21 05:00:00
3,46,68.12,2024-01-05 13:54:10,2024-04-24 03:29:09
4,54,212.69,2024-07-17 01:43:51,
5,8,75.01,2024-02-28 04:08:30,
6,11,407.89,2024-07-14 17:47:23,
7,87,147.91,2024-01-06 07:59:17,2024-11-01 06:11:53
8,59,152.01,2024-10-07 21:20:10,2024-10-14 18:57:28
9,87,437.26,2024-08-03 21:38:37,2024-09-01 05:01:14
10,96,201.53,2024-09-01 23:18:57,
11,75,330.19,2024-06-10 10:18:21,
12,60,378.98,2024-08-24 07:54:52,2024-10-11 00:17:05
13,1,237.17,2024-03-24 03:21:03,2024-09-26 21:47:46
14,34,335.89,2024-01-13 06:13:48,2024-03-16 19:23:42
15,27,23.43,2024-01-03 15:59:10,
16,71,314.29,2024-04-10 22:36:45,2024-06-28 21:12:26
17,28,127.30,2024-04-19 03:26:59,
18,44,494.36,2024-11-19 03:24:38,2024-11-19 07:13:29
19,67,66.91,2024-07-28 16:47:08,
20,90,99.86,2024-01-05 07:09:13,
21,67,337.14,2024-08-26 00:45:13,
22,76,265.25,2024-03-29 14:12:24,2024-11-03 10:07:57
23,90,58.99,2024-03-05 22:48:21,
24,31,489.20,2024-11-10 18:20:27,
25,83,204.99,2024-01-19 16:47:27,2024-01-28 08:13:25
26,81,310.06,2024-01-23 23:15:24,2024-06-19 11:16:32
27,57,94.69,2024-04-02 13:08:15,
28,24,130.06,2024-03-28 12:46:50,
29,88,44.80,2024-02-26 22:09:53,
30,69,307.89,2024-05-17 20:49:01,2024-11-14 21:24:15
31,70,411.32,2024-03-03 09:27:38,2024-05-22 08:34:40
32,72,468.99,2024-01-15 06:01:44,
33,8,48.23,2024-01-08 08:20:00,2024-01-24 05:08:21
34,43,217.92,2024-09-13 01:39:01,2024-10-30 21:41:35
35,75,343.30,2024-02-05 09:09:40,
36,10,91.13,2024-08-25 14:09:14,
37,10,24.98,2024-03-11 22:18:58,2024-09-04 20:07:48
38,86,251.85,2024-11-10 00:53:06,2024-11-23 04:49:43
39,47,459.03,2024-04-07 02:51:18,2024-04-24 07:34:24
40,88,380.53,2024-01-26 04:03:22,
41,23,276.79,2024-03-28 08:31:52,2024-09-14 13:26:59
42,92,192.95,2024-01-24 00:36:58,
43,14,101.69,2024-06-16 17:04:34,
44,72,123.02,2024-06-20 04:13:23,
45,90,61.68,2024-05-15 15:32:18,
46,64,440.44,2024-11-11 05:25:14,
47,89,472.11,2024-07-05 15:31:36,2024-07-17 11:41:09
48,11,180.04,2024-06-22 16:36:06,2024-07-20 14:09:06
49,53,86.08,2024-02-25 15:39:26,2024-11-25 01:57:18
50,79,260.38,2024-06-28 08:23:26,2024-08-19 08:39:12
51,6,375.67,2024-10-24 20:08:46,2024-11-16 09:07:20
52,65,425.60,2024-06-15 21:22:11,
53,30,313.53,2024-11-29 09:17:31,
54,8,254.95,2024-01-11 04:00:34,2024-07-09 02:49:49
55,5,201.50,2024-06-11 14:32:05,
56,80,405.50,2024-11-26 18:39:34,2024-11-28 05:21:03
57,47,201.93,2024-10-19 12:21:06,2024-11-06 01:36:42
58,4,171.46,2024-03-07 10:32:00,
59,45,215.70,2024-11-17 14:46:43,
60,51,45.07,2024-09-19 02:19:48,
61,10,130.82,2024-05-27 11:14:20,2024-10-12 14:53:01
62,76,247.78,2024-08-03 14:17:11,
63,26,147.93,2024-04-29 06:54:46,2024-05-21 12:44:18
64,34,437.63,2024-07-01 14:09:34,
65,88,115.61,2024-03-19 23:45:44,
66,36,324.12,2024-04-25 00:19:23,2024-05-24 17:42:19
67,89,326.53,2024-09-12 06:56:25,
68,76,465.74,2024-10-31 03:46:51,2024-11-29 18:38:31
69,51,326.14,2024-11-09 19:23:34,2024-11-17 03:45:40
