0,59,58,89,49,5,point Shop,4.60
1,57,55,95,39,46,heart Shop,3.70
2,34,77,6,1,1,experience Shop,4.60
3,40,27,88,28,9,hundred Shop,4.90
4,19,73,42,18,9,produce Shop,5.00
5,97,2,10,14,4,room Shop,3.10
6,62,54,8,21,0,myself Shop,3.30
7,40,42,60,43,0,group Shop,3.80
8,57,93,76,21,32,onto Shop,3.80
9,74,11,80,8,9,generation Shop,4.00
10,71,40,17,26,5,rise Shop,3.80
11,27,48,20,48,8,blue Shop,4.40
12,20,25,93,31,25,hospital Shop,4.60
13,76,87,22,21,9,third Shop,3.60
14,90,63,74,19,5,simply Shop,4.70
15,81,85,41,14,0,culture Shop,3.70
16,67,14,92,46,36,economy Shop,4.60
17,79,1,95,20,30,my Shop,3.30
18,69,75,19,45,2,particular Shop,3.00
19,42,15,75,21,34,model Shop,5.00
20,58,29,66,3,2,back Shop,3.80
21,69,8,27,31,2,sit Shop,3.50
22,86,12,17,35,1,cold Shop,5.00
23,5,99,76,18,19,type Shop,3.00
24,64,25,80,7,8,discover Shop,4.90
25,81,89,79,7,26,free Shop,3.20
26,71,99,97,44,10,author Shop,3.50
27,66,97,71,4,15,my Shop,4.80
28,64,37,70,22,12,citizen Shop,3.50
29,42,40,92,27,17,side Shop,3.00
30,55,58,58,24,2,fine Shop,4.50
31,7,70,100,7,15,because Shop,3.40
32,70,89,77,7,5,arm Shop,4.60
33,66,13,46,30,19,kid Shop,4.10
34,52,26,90,33,2,idea Shop,4.50
35,71,57,28,19,7,series Shop,4.20
36,40,59,48,2,12,read Shop,4.60
37,11,35,94,32,10,doctor Shop,3.00
38,34,54,46,18,3,prepare Shop,4.20
39,28,28,53,23,11,find Shop,3.80
40,40,60,32,31,5,song Shop,4.40
41,5,9,59,21,4,language Shop,3.90
42,34,97,15,17,2,view Shop,4.70
43,69,35,21,21,3,star Shop,4.80
44,29,94,33,6,9,little Shop,4.40
45,79,1,76,1,30,government Shop,3.00
46,35,81,52,0,1,green Shop,3.10
47,53,11,93,18,21,argue Shop,3.20
48,55,88,69,3,20,apply Shop,4.00
49,28,19,47,33,17,education Shop,4.20
50,19,6,99,17,44,still Shop,4.70
51,37,45,57,33,2,relate Shop,3.20
52,20,58,31,21,7,seat Shop,4.90
53,62,35,16,20,7,kitchen Shop,4.20
54,86,80,58,35,19,three Shop,4.10
55,55,79,4,27,1,put Shop,3.70
56,48,51,33,15,15,loss Shop,4.10
57,74,40,29,11,10,across Shop,3.80
58,86,83,54,20,6,free Shop,3.40
59,86,63,93,26,30,attention Shop,4.40
60,28,96,72,41,35,apply Shop,3.80
61,74,4,40,10,9,detail Shop,3.00
62,42,91,85,33,9,service Shop,3.40
63,69,65,46,13,18,on Shop,4.50
64,69,16,62,0,0,mother Shop,3.00
65,20,75,85,43,27,easy Shop,3.10
66,58,8,43,41,12,rest Shop,4.70
67,69,19,18,41,9,attention Shop,4.00
68,60,52,75,27,32,responsibility Shop,3.10
69,29,99,83,1,9,question Shop,3.60
70,2,30,36,1,10,number Shop,4.40
71,79,66,79,37,15,heart Shop,3.90
72,86,22,12,34,0,give Shop,4.50
73,42,91,65,49,13,resource Shop,3.90
74,35,70,72,8,1,lot Shop,4.40
75,48,22,15,26,7,news Shop,3.90
76,98,15,40,8,2,learn Shop,3.20
77,73,25,79,18,10,shoulder Shop,5.00
78,20,91,33,8,14,another Shop,4.90
79,71,81,97,45,38,degree Shop,3.70
80,93,67,1,46,0,away Shop,4.30
81,27,34,41,12,15,able Shop,4.70
82,37,48,83,28,5,five Shop,4.20
83,35,94,78,16,0,rich Shop,3.10
84,2,30,92,43,39,pass Shop,4.40
85,59,85,48,19,15,look Shop,3.70
86,55,93,78,5,3,western Shop,3.70
87,59,26,7,12,3,answer Shop,4.00
88,69,10,89,0,19,model Shop,3.10
89,20,46,90,43,39,charge Shop,3.40
90,55,98,14,21,5,professional Shop,3.20
91,74,9,70,41,13,remember Shop,3.20
92,28,55,19,2,4,return Shop,3.70
93,48,11,55,45,18,action Shop,4.40
94,96,52,83,11,14,most Shop,3.00
95,96,5,48,6,17,unit Shop,4.00
96,27,43,63,21,0,blue Shop,3.60
97,89,38,70,35,23,child Shop,3.60
98,91,14,48,0,23,morning Shop,3.80
99,58,97,34,41,2,look Shop,4.70
100,34,90,16,23,7,someone Shop,3.90
101,69,54,94,10,0,actually Shop,3.20
102,71,58,62,35,16,role Shop,4.00
103,55,72,84,45,2,couple Shop,4.80
104,67,8,45,12,16,cell Shop,4.10
105,5,82,87,6,20,forget Shop,3.50
106,64,19,64,38,9,commercial Shop,4.80
107,37,36,77,29,26,everything Shop,4.40
108,89,53,97,38,48,seem Shop,3.50
109,55,25,12,5,6,task Shop,4.20
110,58,22,88,1,24,north Shop,4.90
111,81,30,42,30,5,ten Shop,3.80
112,55,42,28,1,12,administration Shop,4.00
113,51,70,72,1,1,ok Shop,4.30
114,38,26,28,46,0,our Shop,4.60
115,7,60,93,18,3,news Shop,4.20
116,20,63,74,50,2,worker Shop,3.30
117,55,67,68,46,29,concern Shop,3.30
118,97,5,85,24,22,spend Shop,3.90
119,2,35,49,29,7,happen Shop,4.20
120,14,31,77,18,34,week Shop,4.50
121,28,48,22,7,1,sit Shop,4.30
122,73,6,65,43,13,protect Shop,3.00
123,48,38,15,37,3,price Shop,4.70
124,62,22,51,4,21,role Shop,4.80
125,14,27,16,6,6,space Shop,3.90
126,73,89,92,1,11,strategy Shop,4.60
127,55,77,43,21,12,meet Shop,3.80
128,59,41,19,37,8,physical Shop,4.80
129,28,89,85,48,3,gun Shop,3.50
130,74,75,61,18,3,she Shop,4.10
131,81,50,29,20,13,serious Shop,3.40
132,89,16,86,0,10,see Shop,4.60
133,58,43,7,17,3,white Shop,4.60
134,28,69,90,48,19,inside Shop,4.80
135,28,20,94,29,20,step Shop,4.50
136,44,28,28,36,2,tough Shop,4.50
