0,72,,51,4,I’m beyond satisfied with my purchase.,1981-11-25 15:33:43,1981-11-25 15:33:43,0
1,45,70,,5,I’m very satisfied with my purchase!,1974-04-03 23:01:07,1974-04-03 23:01:07,0
2,53,50,,4,So happy with my purchase.,2021-04-25 22:28:53,2021-04-25 22:28:53,0
3,62,84,,2,Overhyped and doesn’t function well.,1970-08-20 07:18:27,1970-08-20 07:18:27,0
4,95,,48,4,This is a must-have.,1995-10-09 11:33:12,1995-10-09 11:33:12,0
5,77,30,,2,I would not buy this!,2023-01-23 15:26:01,2023-01-23 15:26:01,0
6,59,,14,5,Excellent build quality and totally worth the money.,1978-03-16 11:27:34,1978-03-16 11:27:34,0
7,58,,21,2,Very unsatisfied with this product.,1974-07-02 08:44:23,1974-07-02 08:44:23,0
8,40,,67,4,Superb quality and functionality.,1989-02-10 15:07:36,1989-02-10 15:07:36,0
9,91,11,,0,Overpriced and doesn’t function well.,1972-10-06 08:55:56,1972-10-06 08:55:56,0
10,38,92,,5,Will recommend to everyone.,1989-12-02 05:06:16,1989-12-02 05:06:16,0
11,62,71,,1,Very unsatisfied with this purchase.,1991-05-22 15:08:02,1991-05-22 15:08:02,0
12,7,2,,1,Very unsatisfied with this purchase.,2011-04-19 23:53:10,2011-04-19 23:53:10,0
13,42,,30,4,I will definitely be buying again soon.,1986-01-22 18:45:01,1986-01-22 18:45:01,0
14,62,,96,1,Very unhappy with this product.,2012-10-31 10:40:19,2012-10-31 10:40:19,0
15,41,61,,5,It's perfect for what I was looking for.,2018-08-03 06:17:11,2018-08-03 06:17:11,0
16,72,81,,5,Excellent build quality and works perfectly.,1971-01-24 21:22:45,1971-01-24 21:22:45,0
17,94,,85,2,It’s not worth the money.,2021-04-28 10:58:03,2021-04-28 10:58:03,0
18,90,9,,5,Excellent quality and performs well.,1971-03-10 20:00:35,1971-03-10 20:00:35,0
19,67,,3,4,Exactly what I expected.,1972-11-29 16:16:08,1972-11-29 16:16:08,0
20,42,82,,3,I’m very disappointed with the quality.,2011-07-08 21:38:52,2011-07-08 21:38:52,0
21,85,,33,5,I’m thrilled with this purchase.,2020-10-19 13:27:41,2020-10-19 13:27:41,0
22,35,,67,3,Total waste of my money.,1997-08-21 02:06:20,1997-08-21 02:06:20,0
23,52,39,,2,Do not buy this again.,1994-04-25 00:15:14,1994-04-25 00:15:14,0
24,76,84,,1,Poor quality and not functional at all.,1973-11-03 09:09:06,1973-11-03 09:09:06,0
25,15,44,,5,High-quality product and worth the price.,2006-06-06 20:57:58,2006-06-06 20:57:58,0
26,93,,49,3,I’m really unhappy with it.,2003-01-26 07:54:46,2003-01-26 07:54:46,0
27,3,80,,0,Didn’t work as it should.,2023-03-30 17:16:19,2023-03-30 17:16:19,0
28,93,42,39,0,I’m really unhappy with it.,1973-05-10 21:26:09,1973-05-10 21:26:09,0
